"filename", "language", "Ignore", "JSON", "JSON with Comments", "YAML", "TypeScript", "Markdown", "Docker", "comment", "blank", "total"
"d:\coding\syndicate-bot-2\src\middleware\index.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\coding\syndicate-bot-2\src\middleware\map-class.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 0, 3, 6, 41
"d:\coding\syndicate-bot-2\src\modals\code-modal-event.ts", "TypeScript", 0, 0, 0, 0, 52, 0, 0, 0, 15, 67
"d:\coding\syndicate-bot-2\src\modals\input-modal-event.ts", "TypeScript", 0, 0, 0, 0, 64, 0, 0, 0, 18, 82
"d:\coding\syndicate-bot-2\src\modals\modalSubmit.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"d:\coding\syndicate-bot-2\src\modals\referral-modal-event.ts", "TypeScript", 0, 0, 0, 0, 67, 0, 0, 0, 17, 84
"d:\coding\syndicate-bot-2\src\models\api.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 7, 41
"d:\coding\syndicate-bot-2\src\models\bot.ts", "TypeScript", 0, 0, 0, 0, 528, 0, 0, 31, 45, 604
"d:\coding\syndicate-bot-2\src\models\cluster-api\guilds.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\coding\syndicate-bot-2\src\models\cluster-api\index.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\coding\syndicate-bot-2\src\models\cluster-api\shards.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 0, 7, 35
"d:\coding\syndicate-bot-2\src\models\config-models.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\coding\syndicate-bot-2\src\models\enum-helpers\index.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\coding\syndicate-bot-2\src\models\enum-helpers\language.ts", "TypeScript", 0, 0, 0, 0, 101, 0, 0, 4, 6, 111
"d:\coding\syndicate-bot-2\src\models\enum-helpers\permission.ts", "TypeScript", 0, 0, 0, 0, 241, 0, 0, 0, 4, 245
"d:\coding\syndicate-bot-2\src\models\internal-models.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 5, 3, 17
"d:\coding\syndicate-bot-2\src\models\manager.ts", "TypeScript", 0, 0, 0, 0, 50, 0, 0, 0, 12, 62
"d:\coding\syndicate-bot-2\src\models\master-api\clusters.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 0, 0, 7, 43
"d:\coding\syndicate-bot-2\src\models\master-api\index.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\coding\syndicate-bot-2\src\reactions\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"d:\coding\syndicate-bot-2\src\reactions\reaction.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"d:\coding\syndicate-bot-2\src\services\command-registration-service.ts", "TypeScript", 0, 0, 0, 0, 168, 0, 0, 0, 14, 182
"d:\coding\syndicate-bot-2\src\services\event-data-service.ts", "TypeScript", 0, 0, 0, 0, 37, 0, 0, 3, 5, 45
"d:\coding\syndicate-bot-2\src\services\http-service.ts", "TypeScript", 0, 0, 0, 0, 50, 0, 0, 0, 5, 55
"d:\coding\syndicate-bot-2\src\services\index.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\coding\syndicate-bot-2\src\services\job-service.ts", "TypeScript", 0, 0, 0, 0, 38, 0, 0, 0, 7, 45
"d:\coding\syndicate-bot-2\src\services\lang.ts", "TypeScript", 0, 0, 0, 0, 75, 0, 0, 0, 9, 84
"d:\coding\syndicate-bot-2\src\services\logger.ts", "TypeScript", 0, 0, 0, 0, 99, 0, 0, 4, 10, 113
"d:\coding\syndicate-bot-2\src\services\master-api-service.ts", "TypeScript", 0, 0, 0, 0, 50, 0, 0, 0, 13, 63
"d:\coding\syndicate-bot-2\src\start-bot.ts", "TypeScript", 0, 0, 0, 0, 194, 0, 0, 21, 19, 234
"d:\coding\syndicate-bot-2\src\start-manager.ts", "TypeScript", 0, 0, 0, 0, 58, 0, 0, 36, 16, 110
"d:\coding\syndicate-bot-2\src\triggers\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"d:\coding\syndicate-bot-2\src\triggers\trigger.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 3, 10
"d:\coding\syndicate-bot-2\src\types\supabase.ts", "TypeScript", 0, 0, 0, 0, 2369, 0, 0, 0, 0, 2369
"d:\coding\syndicate-bot-2\src\utils\banner-utils.ts", "TypeScript", 0, 0, 0, 0, 92, 0, 0, 1, 9, 102
"d:\coding\syndicate-bot-2\src\utils\button-utils.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"d:\coding\syndicate-bot-2\src\utils\channel-utils.ts", "TypeScript", 0, 0, 0, 0, 111, 0, 0, 0, 8, 119
"d:\coding\syndicate-bot-2\src\utils\client-utils.ts", "TypeScript", 0, 0, 0, 0, 225, 0, 0, 2, 21, 248
"d:\coding\syndicate-bot-2\src\utils\command-utils.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"d:\coding\syndicate-bot-2\src\utils\components-utils.ts", "TypeScript", 0, 0, 0, 0, 163, 0, 0, 3, 20, 186
"d:\coding\syndicate-bot-2\src\utils\database\bot-error-db-utils.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
